STATE,DISTRICT,AC NO.,AC NAME,CANDIDATE NAME,WINNER,SEX,ASSETS_in num,ASSETS_in_alph,ASSETS,QUALIFICATION,CRIMINAL CASES,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,%OVER TOTAL ELECTORS,TOTAL ELECTORS
NCT OF Delhi,Central Delhi,22,BALLIMARAN,ZAFAR MIRZA,0,MALE,,,~,,,56,GENERAL,RTPP,Sewing Machine,41,,41,0.040381,0.028925,141744
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),VISHESH RAVI,1,MALE,1914540,19 Lacs+,1914540~19 Lacs+,10th Pass,,36,SC,AAAP,Broom,67423,71,67494,62.22882,38.04344,177413
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),YOGENDER CHANDOLIYA,0,MALE,,,~,,,57,SC,BJP,Lotus,35686,48,35734,32.9464,20.1417,177413
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),GOURAV KUMAR,0,MALE,3029000,30 Lacs+,3029000~30 Lacs+,12th Pass,1,34,SC,INC,Hand,3365,,3365,3.102498,1.896704,177413
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),LEKHRAJ JATAV,0,MALE,,,~,,,65,SC,BSP,Elephant,782,1,783,0.721918,0.441343,177413
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),NOTA,0,,,,~,,,,,NOTA,,445,2,447,0.41213,0.251954,177413
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),GAURAV,0,MALE,1415100,14 Lacs+,1415100~14 Lacs+,Post Graduate,1,31,SC,SHS,Bow & Arrow,192,,192,0.177022,0.108222,177413
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),DHARMENDER KANWAR,0,MALE,,,~,,,34,SC,IND,Balloon,171,,171,0.15766,0.096385,177413
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),RAHUL BHARTI,0,MALE,,,~,,,33,SC,IND,SHIP,106,,106,0.097731,0.059748,177413
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),SUNIL,0,MALE,,,~,,,54,SC,IND,Door Bell,102,,102,0.094043,0.057493,177413
NCT OF Delhi,Central Delhi,23,KAROL BAGH(SC),DEEPAK KUMAR,0,MALE,,,~,,,37,SC,IND,School Bag,67,,67,0.061773,0.037765,177413
NCT OF Delhi,New Delhi,24,PATEL NAGAR(SC),RAAJ KUMAR ANAND,1,MALE,789065803,78 Crore+,789065803~78 Crore+,Post Graduate,1,53,SC,AAAP,Broom,73341,122,73463,60.80669,37.06789,198185
NCT OF Delhi,New Delhi,24,PATEL NAGAR(SC),PRAVESH RATN,0,MALE,,,~,,,36,SC,BJP,Lotus,42367,161,42528,35.20122,21.45874,198185
NCT OF Delhi,New Delhi,24,PATEL NAGAR(SC),KRISHNA TIRATH,0,FEMALE,,,~,,,64,SC,INC,Hand,3359,23,3382,2.799344,1.706486,198185
NCT OF Delhi,New Delhi,24,PATEL NAGAR(SC),NOTA,0,,,,~,,,,,NOTA,,766,1,767,0.63486,0.387012,198185
NCT OF Delhi,New Delhi,24,PATEL NAGAR(SC),PRADEEP KUMAR RAWAL,0,MALE,,,~,,,46,SC,BSP,Elephant,673,1,674,0.557882,0.340086,198185
NCT OF Delhi,West Delhi,25,MOTI NAGAR,SHIV CHARAN GOEL,1,MALE,244301575,24 Crore+,244301575~24 Crore+,12th Pass,,57,GENERAL,AAAP,Broom,60553,69,60622,53.83072,33.33022,181883
NCT OF Delhi,West Delhi,25,MOTI NAGAR,SUBHASH SACHDEVA,0,MALE,,,~,,,63,GENERAL,BJP,Lotus,46412,138,46550,41.33516,25.59338,181883
NCT OF Delhi,West Delhi,25,MOTI NAGAR,RAMESH POPLI,0,MALE,,,~,,,59,GENERAL,INC,Hand,3139,13,3152,2.798892,1.732982,181883
NCT OF Delhi,West Delhi,25,MOTI NAGAR,MD FAIZAN,0,MALE,,,~,,,25,GENERAL,IND,Battery torch,617,,617,0.54788,0.339229,181883
NCT OF Delhi,West Delhi,25,MOTI NAGAR,NITYA NAND SINGH,0,MALE,,,~,,,45,GENERAL,BSP,Elephant,581,,581,0.515912,0.319436,181883
NCT OF Delhi,West Delhi,25,MOTI NAGAR,NOTA,0,,,,~,,,,,NOTA,,567,2,569,0.505257,0.312838,181883
NCT OF Delhi,West Delhi,25,MOTI NAGAR,MD AMJAD,0,MALE,,,~,,,29,GENERAL,RVNP,Gas Stove,171,,171,0.151843,0.094016,181883
NCT OF Delhi,West Delhi,25,MOTI NAGAR,SHIV CHARAN,0,MALE,,,~,,,46,GENERAL,IND,Pen Nib with Seven Rays,147,,147,0.130532,0.080821,181883
NCT OF Delhi,West Delhi,25,MOTI NAGAR,NARENDER GOEL,0,MALE,,,~,,,59,GENERAL,IND,Cauliflower,116,,116,0.103005,0.063777,181883
NCT OF Delhi,West Delhi,25,MOTI NAGAR,AJIT SINGH,0,MALE,,,~,,,68,GENERAL,IND,Tractor Chalata Kissan,91,,91,0.080806,0.050032,181883
NCT OF Delhi,West Delhi,26,MADIPUR(SC),Girish Soni,1,MALE,10588179,1 Crore+,10588179~1 Crore+,Others,,56,SC,AAAP,Broom,64319,121,64440,55.99875,36.81276,175048
NCT OF Delhi,West Delhi,26,MADIPUR(SC),Kailash Sankla,0,MALE,31932138,3 Crore+,31932138~3 Crore+,Graduate,1,54,SC,BJP,Lotus,41566,155,41721,36.2558,23.83403,175048
NCT OF Delhi,West Delhi,26,MADIPUR(SC),Jai Prakash Panwar,0,MALE,,,~,,,47,SC,INC,Hand,6763,25,6788,5.898813,3.877794,175048
NCT OF Delhi,West Delhi,26,MADIPUR(SC),Hansraj Jaluthria,0,MALE,,,~,,,41,SC,BSP,Elephant,841,10,851,0.739524,0.486152,175048
NCT OF Delhi,West Delhi,26,MADIPUR(SC),NOTA,0,,,,~,,,,,NOTA,,513,4,517,0.449276,0.295348,175048
NCT OF Delhi,West Delhi,26,MADIPUR(SC),Girish Prakash,0,MALE,,,~,,,40,SC,IND,Bat,221,,221,0.19205,0.126251,175048
NCT OF Delhi,West Delhi,26,MADIPUR(SC),Manoj,0,MALE,,,~,,,37,SC,IND,Key,218,3,221,0.19205,0.126251,175048
NCT OF Delhi,West Delhi,26,MADIPUR(SC),Randhir Kumar,0,MALE,,,~,,,43,SC,ASSP,Gas Cylinder,126,,126,0.109495,0.07198,175048
NCT OF Delhi,West Delhi,26,MADIPUR(SC),Sunil Meghwal,0,MALE,,,~,,,33,SC,APoI,Coat,105,,105,0.091246,0.059984,175048
NCT OF Delhi,West Delhi,26,MADIPUR(SC),Ramesh Kumar,0,MALE,,,~,,,48,SC,?AIFB,Lion,84,,84,0.072997,0.047987,175048
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,A DHANWATI CHANDELA A,1,FEMALE,569040449,56 Crore+,569040449~56 Crore+,10th Pass,,60,GENERAL,AAAP,Broom,62058,154,62212,55.7016,34.51467,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,RAMESH KHANNA,0,MALE,62666943,6 Crore+,62666943~6 Crore+,Graduate,2,68,GENERAL,BJP,Lotus,39087,153,39240,35.13359,21.77001,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,SUKHPAL SINGH,0,MALE,,,~,,,40,GENERAL,IND,Key,5215,3,5218,4.671943,2.8949,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,AMANDEEP SINGH SUDAN,0,MALE,,,~,,,37,GENERAL,INC,Hand,3379,19,3398,3.042404,1.88518,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,NOTA,0,,,,~,,,,,NOTA,,684,10,694,0.621374,0.385025,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,RAM BHAROSA GAUTAM,0,MALE,7516000,75 Lacs+,7516000~75 Lacs+,12th Pass,2,70,GENERAL,AAPP,Battery torch,341,,341,0.305315,0.189184,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,HARCHINT SINGH ARORA,0,MALE,,,~,,,63,GENERAL,BSP,Elephant,270,,270,0.241745,0.149794,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,IQBAL SINGH (SONU),0,MALE,10398443,1 Crore+,10398443~1 Crore+,8th Pass,1,47,GENERAL,IND,Auto- Rickshaw,109,,109,0.097593,0.060472,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,MANISH CHANDILA,0,MALE,,,~,,,33,GENERAL,IND,BELT,88,,88,0.078791,0.048822,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,NAND KISHORE GOEL,0,MALE,,,~,,,62,GENERAL,SWAP,Batsman,73,,73,0.065361,0.0405,180248
NCT OF Delhi,West Delhi,27,RAJOURI GARDEN,DEVENDER SINGH,0,MALE,,,~,,,64,GENERAL,RVNP,Gas Stove,45,,45,0.040291,0.024966,180248
NCT OF Delhi,West Delhi,28,HARI NAGAR,RAJ KUMARI DHILLON,1,FEMALE,480847690,48 Crore+,480847690~48 Crore+,Graduate,,57,GENERAL,AAAP,Broom,57892,195,58087,53.66897,33.15638,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,TAJINDER PAL SINGH BAGGA,0,MALE,1890664,18 Lacs+,1890664~18 Lacs+,12th Pass,4,34,GENERAL,BJP,Lotus,37672,284,37956,35.06911,21.6655,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,SURINDER KUMAR SETIA,0,MALE,,,~,,,61,GENERAL,INC,Hand,10334,60,10394,9.603444,5.932953,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,NOTA,0,,,,~,,,,,NOTA,,578,14,592,0.546973,0.337917,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,MAY SINGH SHAYAM,0,MALE,,,~,,,43,SC,BSP,Elephant,496,3,499,0.461047,0.284832,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,SANTOSH,0,FEMALE,,,~,,,59,GENERAL,IND,Tube light,224,,224,0.206963,0.12786,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,RAJEEV TANEJA,0,MALE,,,~,,,56,GENERAL,IND,Battery Torch,126,3,129,0.119188,0.073634,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,SUMIT,0,MALE,,,~,,,40,GENERAL,IND,Bangles,66,,66,0.06098,0.037673,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,DILIP JAISWAL,0,MALE,,,~,,,35,GENERAL,NYP,Laptop,63,,63,0.058208,0.035961,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,HARPREET SINGH,0,MALE,,,~,,,44,GENERAL,IND,Key,58,,58,0.053589,0.033107,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,SABIR KHAN,0,MALE,,,~,,,45,GENERAL,IND,Brush,48,,48,0.044349,0.027399,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,VIKAS AHUJA,0,MALE,,,~,,,39,GENERAL,IND,Bat,33,,33,0.03049,0.018837,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,NAVEEN KUMAR,0,MALE,,,~,,,45,GENERAL,IND,Cake,29,,29,0.026794,0.016553,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,RAKESH KUMAR NARANG,0,MALE,,,~,,,52,GENERAL,IND,BUCKET,29,,29,0.026794,0.016553,175191
NCT OF Delhi,West Delhi,28,HARI NAGAR,KAPIL ARORA,0,MALE,,,~,,,41,GENERAL,IND,Apple,25,,25,0.023099,0.01427,175191
NCT OF Delhi,West Delhi,29,TILAK NAGAR,JARNAIL SINGH,1,MALE,28733096,2 Crore+,28733096~2 Crore+,12th Pass,2,38,GENERAL,AAAP,Broom,62265,171,62436,62.19654,39.78108,156949
NCT OF Delhi,West Delhi,29,TILAK NAGAR,RAJIV BABBAR,0,MALE,194289000,19 Crore+,194289000~19 Crore+,Graduate Professional,1,51,GENERAL,BJP,Lotus,34223,184,34407,34.27504,21.92241,156949
NCT OF Delhi,West Delhi,29,TILAK NAGAR,RAMINDER SINGH,0,MALE,,,~,,,51,GENERAL,INC,Hand,1787,20,1807,1.80007,1.151329,156949
NCT OF Delhi,West Delhi,29,TILAK NAGAR,JARNAIL SINGH,0,MALE,,,~,,,54,GENERAL,AAPP,Battery Torch,524,3,527,0.524979,0.335778,156949
NCT OF Delhi,West Delhi,29,TILAK NAGAR,NOTA,0,,,,~,,,,,NOTA,,512,10,522,0.519998,0.332592,156949
NCT OF Delhi,West Delhi,29,TILAK NAGAR,JARNAIL SINGH,0,MALE,,,~,,,64,GENERAL,IND,Green Chilli,304,1,305,0.30383,0.194331,156949
NCT OF Delhi,West Delhi,29,TILAK NAGAR,SANJAY KUMAR,0,MALE,,,~,,,42,SC,BSP,Elephant,169,3,172,0.17134,0.10959,156949
NCT OF Delhi,West Delhi,29,TILAK NAGAR,RAJIV BABBAR,0,MALE,,,~,,,31,GENERAL,IND,DIAMOND,124,,124,0.123524,0.079007,156949
NCT OF Delhi,West Delhi,29,TILAK NAGAR,RAJIV ARORA,0,MALE,,,~,,,45,GENERAL,IND,Balloon,85,,85,0.084674,0.054158,156949
NCT OF Delhi,West Delhi,30,JANAKPURI,RAJESH RISHI,1,MALE,10415486,1 Crore+,10415486~1 Crore+,Graduate,2,55,GENERAL,AAAP,Broom,67756,212,67968,54.42621,35.80693,189818
NCT OF Delhi,West Delhi,30,JANAKPURI,ASHISH SOOD,0,MALE,69918980,6 Crore+,69918980~6 Crore+,Graduate,1,53,GENERAL,BJP,Lotus,52750,301,53051,42.48124,27.94835,189818
NCT OF Delhi,West Delhi,30,JANAKPURI,RADHIKA KHERA,0,FEMALE,5602697,56 Lacs+,5602697~56 Lacs+,Graduate,4,37,GENERAL,INC,Hand,2064,20,2084,1.668789,1.097894,189818
NCT OF Delhi,West Delhi,30,JANAKPURI,NOTA,0,,,,~,,,,,NOTA,,687,4,691,0.553327,0.364033,189818
NCT OF Delhi,West Delhi,30,JANAKPURI,RAJ KUMAR,0,MALE,,,~,,,52,SC,BSP,Elephant,502,3,505,0.404385,0.266044,189818
NCT OF Delhi,West Delhi,30,JANAKPURI,RAMESH CHAND VERMA,0,MALE,,,~,,,59,GENERAL,IND,Battery torch,381,,381,0.30509,0.200719,189818
NCT OF Delhi,West Delhi,30,JANAKPURI,MAHIPAL SINGH,0,MALE,,,~,,,46,GENERAL,IND,Key,201,,201,0.160953,0.105891,189818
NCT OF Delhi,South West Delhi,31,VIKASPURI,MAHINDER YADAV,1,MALE,23859496,2 Crore+,23859496~2 Crore+,10th Pass,,56,GENERAL,AAAP,Broom,133640,258,133898,55.95029,33.2584,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,SANJAY SINGH,0,MALE,260464259,26 Crore+,260464259~26 Crore+,12th Pass,3,45,GENERAL,BJP,Lotus,91507,333,91840,38.37604,22.81178,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,MUKESH SHARMA,0,MALE,509986000, 50 Crore+,509986000~ 50 Crore+,Post Graduate,3,55,GENERAL,INC,Hand,8273,46,8319,3.476157,2.066324,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,KRISHNA THAKUR,0,MALE,,,~,,,40,GENERAL,BSP,Elephant,2071,3,2074,0.866637,0.515153,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,NOTA,0,,,,~,,,,,NOTA,,1027,7,1034,0.432065,0.256831,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,SHARDA DIXIT,0,FEMALE,,,~,,,62,GENERAL,SUCI,Battery torch,530,1,531,0.221882,0.131893,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,SANJAY GUPTA,0,MALE,49133586,4 Crore+,49133586~4 Crore+,10th Pass,1,49,GENERAL,SHS,Bow & Arrow,421,1,422,0.176336,0.104819,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,UMESH CHAUHAN,0,MALE,,,~,,,30,SC,RRP,Gas Cylinder,374,1,375,0.156697,0.093145,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,GOPAL RANJAN,0,MALE,,,~,,,51,GENERAL,AJPI,Helicopter,327,,327,0.136639,0.081222,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,BHARAT BHUSHAN GAUTAM,0,MALE,,,~,,,44,SC,AJPSH,Hand Cart,325,1,326,0.136222,0.080974,402599
NCT OF Delhi,South West Delhi,31,VIKASPURI,JAI KRISHAN GAUR,0,MALE,,,~,,,72,GENERAL,RJSPS,Tractor Chalata Kissan,170,,170,0.071036,0.042226,402599
NCT OF Delhi,South West Delhi,32,UTTAM NAGAR,NARESH BALYAN,1,MALE,564004694,56 Crore+,564004694~56 Crore+,8th Pass,,43,GENERAL,AAAP,Broom,99338,284,99622,54.57334,34.98332,284770
NCT OF Delhi,South West Delhi,32,UTTAM NAGAR,KRISHAN GAHLOT,0,MALE,,,~,,,45,GENERAL,BJP,Lotus,79446,417,79863,43.74928,28.04474,284770
NCT OF Delhi,South West Delhi,32,UTTAM NAGAR,DEEPAK RAJPUT,0,MALE,1965586,19 Lacs+,1965586~19 Lacs+,Illiterate,1,40,GENERAL,BSP,Elephant,866,12,878,0.480972,0.308319,284770
NCT OF Delhi,South West Delhi,32,UTTAM NAGAR,NOTA,0,,,,~,,,,,NOTA,,832,6,838,0.45906,0.294273,284770
NCT OF Delhi,South West Delhi,32,UTTAM NAGAR,GANGA RAM CHANDRAVANSHI,0,MALE,,,~,,,65,GENERAL,PBI,FLUTE,432,1,433,0.237199,0.152053,284770
NCT OF Delhi,South West Delhi,32,UTTAM NAGAR,SHAKTI KUMAR BISHNOI,0,MALE,,,~,,,45,GENERAL,RJD,Hurricane Lamp,372,5,377,0.206522,0.132388,284770
NCT OF Delhi,South West Delhi,32,UTTAM NAGAR,SHIKHA SHARMA,0,FEMALE,,,~,,,50,GENERAL,AJPSH,Hand Cart,222,2,224,0.122708,0.07866,284770
NCT OF Delhi,South West Delhi,32,UTTAM NAGAR,MUKH RAM SINGH,0,MALE,,,~,,,61,GENERAL,IND,Tractor Chalata Kissan,196,,196,0.10737,0.068827,284770
NCT OF Delhi,South West Delhi,32,UTTAM NAGAR,RAJIV KUMAR,0,MALE,,,~,,,52,GENERAL,IND,Whistle,116,,116,0.063545,0.040735,284770
NCT OF Delhi,South West Delhi,33,DWARKA,VINAY MISHRA,1,MALE,78539391,7 Crore+,78539391~7 Crore+,Post Graduate,,37,GENERAL,AAAP,Broom,70954,49,71003,52.07866,32.27394,220001
NCT OF Delhi,South West Delhi,33,DWARKA,PARDUYMN RAJPUT,0,MALE,182086566,18 Crore+,182086566~18 Crore+,Post Graduate,1,55,GENERAL,BJP,Lotus,56540,76,56616,41.52621,25.73443,220001
NCT OF Delhi,South West Delhi,33,DWARKA,ADARSH SHASTRI,0,MALE,,,~,,,46,GENERAL,INC,Hand,6747,10,6757,4.956065,3.07135,220001
NCT OF Delhi,South West Delhi,33,DWARKA,NOTA,0,,,,~,,,,,NOTA,,576,2,578,0.423946,0.262726,220001
NCT OF Delhi,South West Delhi,33,DWARKA,ASHOK PAHALWAN,0,MALE,151000,1 Lacs+,151000~1 Lacs+,10th Pass,1,31,GENERAL,BSP,Elephant,499,1,500,0.366736,0.227272,220001
NCT OF Delhi,South West Delhi,33,DWARKA,GAUTAM SINGH BIHARI,0,MALE,,,~,,,32,GENERAL,IND,Hat,220,,220,0.161364,0.1,220001
NCT OF Delhi,South West Delhi,33,DWARKA,DEEPAK KUMAR,0,MALE,10000,10 Thousand+,10000~10 Thousand+,8th Pass,1,36,SC,RJAP,Gas Stove,214,,214,0.156963,0.097272,220001
NCT OF Delhi,South West Delhi,33,DWARKA,VINAY KUMAR SAH,0,MALE,,,~,,,25,GENERAL,IND,Frying Pan,171,,171,0.125424,0.077727,220001
NCT OF Delhi,South West Delhi,33,DWARKA,RAJNISH JHA,0,MALE,,,~,,,37,GENERAL,NYP,Laptop,137,,137,0.100486,0.062272,220001
NCT OF Delhi,South West Delhi,33,DWARKA,HARSH VARDHAN,0,MALE,,,~,,,38,GENERAL,IND,Wallet,87,,87,0.063812,0.039545,220001
NCT OF Delhi,South West Delhi,33,DWARKA,BALJEET YADAV,0,MALE,1266200,12 Lacs+,1266200~12 Lacs+,12th Pass,1,38,GENERAL,RRP,Water Melon,55,,55,0.040341,0.025,220001
NCT OF Delhi,South West Delhi,34,MATIALA,GULAB SINGH,1,MALE,54308332,5 Crore+,54308332~5 Crore+,12th Pass,11,41,GENERAL,AAAP,Broom,138207,803,139010,53.19633,32.71409,424924
NCT OF Delhi,South West Delhi,34,MATIALA,RAJESH GAHLOT,0,MALE,,,~,,,55,GENERAL,BJP,Lotus,109659,1276,110935,42.4526,26.10702,424924
NCT OF Delhi,South West Delhi,34,MATIALA,SUMESH SHOKEEN,0,MALE,,,~,,,46,GENERAL,INC,Hand,7211,106,7317,2.800069,1.721955,424924
NCT OF Delhi,South West Delhi,34,MATIALA,NOTA,0,,,,~,,,,,NOTA,,1588,14,1602,0.613053,0.377009,424924
NCT OF Delhi,South West Delhi,34,MATIALA,SANDHYA SINGH,0,FEMALE,,,~,,,40,GENERAL,JDNTP,Mike,887,,887,0.339437,0.208743,424924
NCT OF Delhi,South West Delhi,34,MATIALA,SHER SINGH,0,MALE,,,~,,,36,SC,BSP,Elephant,762,12,774,0.296194,0.18215,424924
NCT OF Delhi,South West Delhi,34,MATIALA,SURENDER KUMAR,0,MALE,,,~,,,45,GENERAL,MZEKP,Plate Containing Food,327,2,329,0.125902,0.077426,424924
NCT OF Delhi,South West Delhi,34,MATIALA,ANIL LOHCHUB,0,MALE,,,~,,,48,GENERAL,RMEP,BUCKET,176,,176,0.067352,0.041419,424924
NCT OF Delhi,South West Delhi,34,MATIALA,MOHINDER SINGH,0,MALE,2289024,22 Lacs+,2289024~22 Lacs+,12th Pass,1,30,SC,RRP,Balloon,160,,160,0.061229,0.037654,424924
NCT OF Delhi,South West Delhi,34,MATIALA,AKASH SHRIVASTAVA,0,MALE,,,~,,,44,GENERAL,SatBP,Black Board,125,,125,0.047835,0.029417,424924
NCT OF Delhi,South West Delhi,35,NAJAFGARH,KAILASH GAHLOT,1,MALE,460752912,46 Crore+,460752912~46 Crore+,Post Graduate,,45,GENERAL,AAAP,Broom,80761,746,81507,49.85747,32.3655,251833
NCT OF Delhi,South West Delhi,35,NAJAFGARH,AJEET SINGH KHARKHARI,0,MALE,,,~,,,64,GENERAL,BJP,Lotus,73868,1408,75276,46.046,29.89124,251833
NCT OF Delhi,South West Delhi,35,NAJAFGARH,SAHAB SINGH,0,MALE,,,~,,,63,GENERAL,INC,Hand,2311,68,2379,1.455224,0.944674,251833
NCT OF Delhi,South West Delhi,35,NAJAFGARH,LALIT GOEL,0,MALE,,,~,,,29,GENERAL,IND,Bat,1887,11,1898,1.160998,0.753674,251833
NCT OF Delhi,South West Delhi,35,NAJAFGARH,MANOJ KUMAR,0,MALE,,,~,,,34,SC,BSP,Elephant,818,22,840,0.513824,0.333554,251833
NCT OF Delhi,South West Delhi,35,NAJAFGARH,NOTA,0,,,,~,,,,,NOTA,,720,16,736,0.450208,0.292257,251833
NCT OF Delhi,South West Delhi,35,NAJAFGARH,MOHAMMAD KASIM,0,MALE,,,~,,,36,GENERAL,IND,Syringe,339,,339,0.207365,0.134613,251833
NCT OF Delhi,South West Delhi,35,NAJAFGARH,PARVEEN KUMAR,0,MALE,,,~,,,29,GENERAL,IND,Football,255,12,267,0.163323,0.106023,251833
NCT OF Delhi,South West Delhi,35,NAJAFGARH,BAIDYANATH SAH,0,MALE,,,~,,,54,GENERAL,PBI,FLUTE,159,1,160,0.097871,0.063534,251833
NCT OF Delhi,South West Delhi,35,NAJAFGARH,AJIT YADAV,0,MALE,,,~,,,26,GENERAL,IND,Pineapple,76,2,78,0.047712,0.030973,251833
NCT OF Delhi,South West Delhi,36,BIJWASAN,BHUPINDER SINGH JOON,1,MALE,51820871,5 Crore+,51820871~5 Crore+,Graduate Professional,,66,GENERAL,AAAP,Broom,57098,173,57271,45.82707,28.40401,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,SAT PRAKASH RANA,0,MALE,,,~,,,54,GENERAL,BJP,Lotus,56203,315,56518,45.22453,28.03055,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,PARVEEN RANA,0,MALE,,,~,,,53,GENERAL,INC,Hand,5893,44,5937,4.750664,2.944502,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,LOKENDER KAPASHERA,0,MALE,,,~,,,33,GENERAL,AAPP,Battery torch,2529,15,2544,2.035656,1.261717,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,DEEPAK,0,MALE,,,~,,,39,GENERAL,BSP,Elephant,627,4,631,0.504913,0.312949,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,RAM NIWAS,0,MALE,,,~,,,58,GENERAL,HND,Water Tank,577,5,582,0.465704,0.288648,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,NOTA,0,,,,~,,,,,NOTA,,442,6,448,0.35848,0.222189,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,MANJU YADAV,0,FEMALE,,,~,,,43,GENERAL,SWARAJ,Whistle,324,1,325,0.260058,0.161186,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,KAMESHWAR THAKUR,0,MALE,,,~,,,62,GENERAL,IND,Phone Charger,205,,205,0.164037,0.101671,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,ANIL,0,MALE,12846685,1 Crore+,12846685~1 Crore+,8th Pass,3,38,GENERAL,IND,Cauliflower,193,,193,0.154435,0.09572,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,DHANJI SHARMA,0,MALE,,,~,,,41,GENERAL,RAM,Key,131,,131,0.104823,0.06497,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,NITU YADAV,0,FEMALE,,,~,,,42,GENERAL,ANC,Gramophone,100,,100,0.080018,0.049596,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,MANOJ KUMAR,0,MALE,,,~,,,39,GENERAL,LJP,Bungalow,45,,45,0.036008,0.022318,201630
NCT OF Delhi,South West Delhi,36,BIJWASAN,PARDEEP MAURYA,0,MALE,,,~,,,39,GENERAL,NYP,Laptop,42,,42,0.033608,0.02083,201630
NCT OF Delhi,South West Delhi,37,PALAM,BHAVNA GAUR,1,FEMALE,1427686,14 Lacs+,1427686~14 Lacs+,Graduate Professional,,49,GENERAL,AAAP,Broom,92412,363,92775,59.14849,37.45141,247721
NCT OF Delhi,South West Delhi,37,PALAM,VIJAY PANDIT,0,MALE,,,~,,,52,GENERAL,BJP,Lotus,59565,445,60010,38.25924,24.22483,247721
NCT OF Delhi,South West Delhi,37,PALAM,NOTA,0,,,,~,,,,,NOTA,,826,22,848,0.54064,0.342321,247721
NCT OF Delhi,South West Delhi,37,PALAM,GEETA,0,FEMALE,,,~,,,34,GENERAL,BSP,Elephant,772,14,786,0.501113,0.317292,247721
NCT OF Delhi,South West Delhi,37,PALAM,NIRMAL KUMAR SINGH,0,MALE,,,~,,,57,GENERAL,RJD,Hurricane Lamp,547,5,552,0.351926,0.222831,247721
NCT OF Delhi,South West Delhi,37,PALAM,DALIP KUMAR,0,MALE,,,~,,,40,GENERAL,CPI,Ears of Corn And Sickle,481,3,484,0.308573,0.195381,247721
NCT OF Delhi,South West Delhi,37,PALAM,SATDEV JAIN,0,MALE,,,~,,,54,GENERAL,PBI,FLUTE,324,,324,0.206565,0.130792,247721
NCT OF Delhi,South West Delhi,37,PALAM,RAM SINGH BISHT,0,MALE,,,~,,,42,GENERAL,IND,Cauliflower,313,1,314,0.20019,0.126756,247721
